#in total there were 23 hours spent on this project
Task, Timespent
cell.py, 2
board.py, 1.5
play_screen.py, 1.5
bug fixes, 1
Initial system architecture/flow diagram, 2
Prologue comments, 0.5
Updated flow diagram, 0.5
System architecture document, 1.5
UML class diagram, 2
create_start_screen, .5
get_user_input, 1
edit_prologue_comments, .5
fixed_cell_uncovering, .5
created_status_indicator, .5
linked_victory_screen, .25
force_uncover_mines, .25
Create grid with labels, 1
Create play screen, 1
Show remaining mine count, 1
Comment code, .5
Fix bugs, 1
Manage Game State Transitions, 1
Add Game Over Screen and Restart Button, 1
Fine Tune Formatting and Colors, .5
Victory Screen Implementation, .25
